# mDM = 1.0 GeV	lifetime = 1e+24 s
# H0 = 67.66 km/s/Mpc	Omega_DM = 0.26069	Omega_baryon = 0.04897	mnu = 0.06 eV
# tilt = 6.0	lna_pivot = -2.04
# dxHII_dz	dxHeII_dz	dT_dz [K]	redshift
-6.16063e-08	-8.73242e-12	-9.73367e-03	2910.3366006455212
-7.31940e-08	-1.17191e-11	-1.30986e-02	2824.2936007527423
-7.88021e-08	-1.34435e-11	-1.51181e-02	2740.79355581368
-8.36224e-08	-1.47611e-11	-1.67768e-02	2659.7613101514676
-8.85818e-08	-1.59471e-11	-1.83304e-02	2581.123929275168
-9.38235e-08	-1.71083e-11	-1.98764e-02	2504.81063423381
-9.98121e-08	-1.83012e-11	-2.14803e-02	2430.752737910555
-1.06871e-07	-1.95580e-11	-2.31870e-02	2358.8835831996535
-1.15463e-07	-2.08960e-11	-2.50232e-02	2289.1384830105526
-1.26116e-07	-2.23267e-11	-2.70079e-02	2221.454662045146
-1.39408e-07	-2.38602e-11	-2.91590e-02	2155.771200295771
-1.55556e-07	-2.55065e-11	-3.14942e-02	2092.0289782130853
-1.73997e-07	-2.72792e-11	-3.40373e-02	2030.1706234944859
-1.93364e-07	-2.92018e-11	-3.68184e-02	1970.140459445162
-2.12034e-07	-3.13171e-11	-3.98636e-02	1911.8844548653112
-2.29014e-07	-3.36030e-11	-4.27955e-02	1855.3501754184138
-2.43926e-07	-3.64663e-11	-4.58353e-02	1800.4867364367888
-2.57023e-07	-4.07876e-11	-4.91330e-02	1747.2447571219598
-2.68770e-07	-4.96969e-11	-5.32745e-02	1695.5763160986019
-2.79695e-07	-7.67441e-11	-5.80660e-02	1645.4349082820697
-2.90311e-07	-2.49191e-10	-6.31129e-02	1596.775403020682
-3.01632e-07	-8.34744e-10	-6.86529e-02	1549.554003475088
-3.13321e-07	-7.64800e-10	-7.49952e-02	1503.7282071981567
-3.29000e-07	-8.63390e-10	-8.27179e-02	1459.256767879905
-3.48267e-07	-1.11431e-09	-9.18826e-02	1416.099658223034
-3.75340e-07	-1.53612e-09	-1.02604e-01	1374.2180339156607
-4.09678e-07	-2.08126e-09	-1.14718e-01	1333.5741986688133
-4.54855e-07	-2.66128e-09	-1.27926e-01	1294.131570287229
-5.14275e-07	-3.36004e-09	-1.41669e-01	1255.8546477429068
-5.91521e-07	-4.18825e-09	-1.55212e-01	1218.7089792217873
-6.95305e-07	-5.23125e-09	-1.67714e-01	1182.6611311147933
-8.15685e-07	-6.49569e-09	-1.79155e-01	1147.678657925326
-9.69162e-07	-8.45868e-09	-1.88002e-01	1113.730073066127
-1.14683e-06	-1.09090e-08	-1.94069e-01	1080.784820519225
-1.35736e-06	-1.38826e-08	-1.97172e-01	1048.813247333456
-1.60277e-06	-1.75382e-08	-1.95987e-01	1017.7865769348075
-1.86083e-06	-2.18641e-08	-1.93035e-01	987.6768832255573
-2.11571e-06	-2.63450e-08	-1.88510e-01	958.4570654489019
-2.35753e-06	-2.88913e-08	-1.82987e-01	930.1008237964452
-2.53680e-06	-3.46706e-08	-1.78429e-01	902.5826357365966
-2.64552e-06	-3.86373e-08	-1.76334e-01	875.8777330425686
-2.70235e-06	-4.26449e-08	-1.75093e-01	849.9620794993016
-2.72074e-06	-4.66275e-08	-1.74909e-01	824.8123492692475
-2.73201e-06	-5.00730e-08	-1.77246e-01	800.4059058975417
